"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.752537030E-1,2.595000155E-2,-6.495000422E-2,9.871050835E0,9.871298622E0
3.777669430E-1,7.050000131E-3,-7.905000448E-2,9.808050156E0,9.808371244E0
3.802749450E-1,-6.000000052E-3,-1.009500027E-1,9.804000854E0,9.804522408E0
3.827854810E-1,0.000000000E0,-5.295000225E-2,9.844050407E0,9.844192812E0
3.852961730E-1,4.950000439E-3,-7.905000448E-2,9.850950241E0,9.851268652E0
3.878094860E-1,1.905000024E-2,-9.795000404E-2,9.816000938E0,9.816508113E0
3.903174110E-1,2.895000204E-2,-1.170000061E-1,9.837000847E0,9.837739210E0
3.928278710E-1,1.905000024E-2,-7.905000448E-2,9.886950493E0,9.887284858E0
3.953386400E-1,-4.050000105E-3,-6.705000252E-2,9.859050751E0,9.859279579E0
3.978519380E-1,1.905000024E-2,-8.595000207E-2,9.838950157E0,9.839344008E0
4.003598630E-1,1.395000052E-2,-9.300000221E-2,9.847050667E0,9.847499705E0
4.028703990E-1,-4.050000105E-3,-9.300000221E-2,9.847050667E0,9.847490657E0
4.053810920E-1,2.205000073E-2,-9.300000221E-2,9.841950417E0,9.842414501E0
4.078943220E-1,2.400000021E-2,-1.030500084E-1,9.847050667E0,9.847619110E0
4.104023240E-1,1.395000052E-2,-1.030500084E-1,9.826950073E0,9.827500275E0
4.129128610E-1,2.205000073E-2,-8.895000070E-2,9.883050919E0,9.883475794E0
4.154235530E-1,1.200000010E-2,-7.695000619E-2,9.856050491E0,9.856358181E0
4.179368610E-1,0.000000000E0,-8.895000070E-2,9.816000938E0,9.816403951E0
4.204447860E-1,7.050000131E-3,-6.705000252E-2,9.793950081E0,9.794182130E0
4.229553220E-1,-7.950000465E-3,-7.200000435E-2,9.850950241E0,9.851216567E0
4.254660150E-1,-1.050000079E-3,-1.219500080E-1,9.847050667E0,9.847805834E0
4.279792450E-1,0.000000000E0,-8.595000207E-2,9.820050240E0,9.820426371E0
4.304870270E-1,-1.050000079E-3,-7.695000619E-2,9.813000679E0,9.813302438E0
